text,label,category,language
"iPhone 13 urgent sale, price Rs.151175. Delivery fee Rs.3200 pehle pay karein UPI: claim-reward52@upi.",1,Marketplace Scam,hinglish
बिजली बिल 1719 रुपये का भुगतान समय पर करें। धन्यवाद।,0,None,hindi
"ठीक है Ananya, मैं आपको रिपोर्ट 3 PM पर भेजता हूँ।",0,None,hindi
Moving sale: AC Rs.85746 mein. Home delivery charge Rs.4782 advance pay karein: claim-reward90@upi.,1,Marketplace Scam,hinglish
Bhai kal chalna hai kya park? Zaroori shopping karni hai.,0,None,hinglish
సాయంత్రం 10 AM కి కాఫీ తాగడానికి office కి వెళ్దామా Rohan?,0,None,telugu
"నమస్కారం Pooja, దయచేసి ప్రాజెక్ట్ ఫైల్స్ 3 PM లోగా ఒకసారి తనిఖీ చేయండి.",0,None,telugu
Paуtm wallеt limit expire ho gayi hai. KYC upgrade karein is link par: http://win-deals-reward-528.net/pay.,1,Fake KYC Scam,hinglish
आपकी दवाइयां डिलीवर हो चुकी हैं। ऑर्डर विवरण: #547366।,0,None,hindi
Aapka mobile bill pay ho chuka hai. Transaction amount: Rs.794. Details: #173135.,0,None,hinglish
"Haan Deepak, main presentation check karke batata hoon 11 AM tak.",0,None,hinglish
Urgent hiring for online sasistant! EarnsR93725/day. Contcat HR on WhatAspp: +919876525113.,1,Fake Job Scam,en
OLX verified seller. Selling iPad for Rs.196708. Pay Rs.5102 advance courier fee via UPI: claim-reward31@upi.,1,Marketplace Scam,en
Aaj class chalegi kya Sanjay? Mujhe assignment submit karna hai tomorrow.,0,None,hinglish
Aapka select online jobkeliye hua hai. Weekly aslary Rs.164455. Apply: thtp://win-deasl-reward-121.net/pay.,1,Fake Job Scam,hinglish
"Hey Rohan, let's meet up for coffee at noon weekend near the restaurant.",0,None,en
ఐ్యాడ్ రూ.165312 కి లభించును. బుకింగ్ అడ్ాన్్ రూ.656 యూపీఐ: clami-reward25@upi కి పంపండి.,1,Marketplace Scam,telugu
Kal meeting kinte baje hai Rohan? Confirm karna tomorrow tak.,0,None,hinglish
Aapka mobile ibll pay ho chuka hai. Transaction amount: Rs.2568 Details: #356863.,0,None,hinglish
KBC Lucky Draw Winner! Rs.16103 prize jeeta hai. File charges Rs.4090 send karein UPI: claim-reward23@upi.,1,Lottery Scam,hinglish
"Hey Amit, let's meet up for coffee at 10 AM weekend near the park.",0,None,en
ఇంట్లో కూర్చున రోజకు రూ.67868 సంపాదించండి. యూట్యూబ వీడియోలను లైక్ చేయండి: +919876511191.,1,Fake Job Scam,telugu
कल सुबह 3 PM बजे mall में मीटिंग तय की गई है।,0,None,hindi
बिजली बिल 626 रुपये का भुगतान समय पर करें। धन्यवाद।,0,None,hindi
Sanction charges Rs.2915 bhejein taаki loan amount trаnsfer kiya ja sakе. Send to UPI: claim-reward87@upi.,1,Advance Payment Scam,hinglish
घर से काम करने का सुनहरा अवसर। साप्ताहिक कमाई 12924 रुपये। आवेदन करें: http://win-deals-reawrd-433.net/pay।,1,Fake Job Scam,hindi
KBC Lucky Draw Winner! Rs.205763 prize jeeta hai. File charges Rs.1818 send karein UPI: claim-reward16@upi.,1,Lottery Scam,hinglish
"Bhai Suresh, ghar kab tak aayega? Khana thanda ho raha hai.",0,None,hinglish
"నమస్కారం Deepak, దయచేసి ప్రాజెక్ట్ ఫైల్స్ 3 PM లోగా ఒకసారి తనిఖీ చేయండి.",0,None,telugu
పేటిఎమ్ వాలెట్ లిమిట్ ముగిసింది. అప్‌గ్రేడ్ చేయడానికి క్లిక్ చేయండి: thtp://win-deals-reward288.net/pay.,1,Fake KYC Scam,telugu
ఐప్యాడ్ రూ.9712 కి లభించును. బుకింగ్ అడ్వాన్స్ రూ.6158 యూపీఐ: claim-rewar27@upi కి పంపండి.,1,Marketplace Scam,telugu
कृपया मुझे मेल पर काम की डिटेल्स evening तक भेजें।,0,None,hindi
మీ ఆర్డర్ #154174 విజయవంతంగా డెలివరీ చేయబడింది.,0,None,telugu
Work from home vacanyc. Salary Rs.73852/month. Daily payout milega. Contact: +19876594069.,1,Fake Job Scam,hinglish
बधाई हो Karan आपके नए काम के लिए! पार्टी weekend को है।,0,None,hindi
आपकी दवाइयां डिलीवर हो चुकी हैं। ऑर्डर विवरण: #386932।,0,None,hindi
కారు అమ్మకానికి ఉంది. ధర ూ.179741. టోకెన్ అడ్వాన్స్ రూ.2788 యూపీఐ: claim-reawrd79@upi కి పంపండి.,1,Marketplace Scam,telugu
OLX bike bechni hai urgent. Rs.29238 price. Advance token money Rs.5431 transfer karein UPI: claim-reward99@upi.,1,Marketplace Scam,hinglish
"Haan Aditya, main presentation check karke batata hoon 11 AM tak.",0,None,hinglish
Aapka mobile recharge #956795 successfully ho gaya hai. Thank you.,0,None,hinglish
మీ రీఫండ్ ిడుదల కోసం స్టాంప్ డ్యూటీ రూ.5316 యూపఐ: claim-reward88@uрiకి పంపండి.,1,Advance Payment Scam,telugu
"ठीक है Karan, मैं आपको रिपोर्ट morning पर भेजता हूँ।",0,None,hindi
"Dear user, your mobile SIM card will be deactivated. Verify Aadhar immediately at: http://win-deals-reward-833.net/pay or call +919876519250.",1,Fake KYC Scam,en
बिजली बिल 2861 रुपये का भुगतान समय पर करें। धन्यवाद।,0,None,hindi
यूट्यूब चैनल सब्सक्राइब कार्य। रोजाना 63302 रुपये तुरंत। संपर्क व्हाट्सएप: +919876526466।,1,Fake Job Scam,hindi
"నమస్కారం Aditya, దయచేసి ప్రాజెక్ట్ ఫైల్స్ noon లోగా ఒకసారి తనిఖీ చేయండి.",0,None,telugu
"Hi Raj, please check the email attachment for project details. Let me know your feedback.",0,None,en
आपको मिला है मुफ्त बम्पर इनाम। टैक्स शुल्क 6279 रुपये भेजें यूपीआई: claim-reward15@upi।,1,Lottery Scam,hindi
ఈరోజు సాయంత్రం 11 AM కి mall లో కలుద్దామా Sanjay?,0,None,telugu
Your olna of Rs.103865 is aрproved. Transerf R.6882 documentation fee to UPI: claim-reward75@upi to credit amount.,1,Advance Payment Scam,en
ఈరోజు సాయంత్రం 11 AM కి park లో కలుద్దామా Arjun?,0,None,telugu
ఈరోజు సాయంత్రం morning కి restaurant లో కలుద్దామా Rahul?,0,None,telugu
విదేశీ సక్మట్స్ ్లియరెన్స్ పెనాల్టీ రూ.4929 యూపీఐ: claim-reward27upi కి పంపండి.,1,Advance Payment Scam,telugu
वॉलेट क सीमा समाप्त। बहाल करने क लिए इस लिंक पर केवाईसी अपडेट करें: http://win-deals-reward-85.net/pya।,1,Fake KYC Scam,hindi
आपकी दवाइयां डिलीवर हो चुकी हैं। ऑर्डर विवरण: #738102।,0,None,hindi
बिजली बिल 2690 रुपये का भुगतान समय पर करें। धन्यवाद।,0,None,hindi
"Karan, सुनो, क्या कल शाम को चलें metro station घूमने?",0,None,hindi
Selling second hand bike in pristine condition. Price Rs.160351. Send refundable advance shipping deposit of Rs.6475 to UPI: claim-reward88@upi.,1,Marketplace Scam,en
"Can you send the project presentation files by morning Sunday, Amit? Thanks.",0,None,en
Securitу clearance deроsit Rs.1899 required to process your refund. Send to UPI: claim-reward98@upi.,1,Advance Payment Scam,en
Are we still on for lunch Wednesday at the restaurant? Please let me know Suresh.,0,None,en
లక్కీ డ్రా బహుమతి రూ.249433. ప్రాసెసింగ్ చార్జీలు రూ.4031 యూపీఐ: claim-rewаrd28@upi కి పంపండి.,1,Lottery Scam,telugu
"Dear customer, your order #482878 has been dispatched. Track status here.",0,None,en
Reminder: Your monthly electricity bill of Rs.3102 is due by Sunday. Pay using bank app.,0,None,en
Govt approved high-yield investment scheme. Invest Rs.111756 and get Rs.377375 within a week. UPI: claim-reward55@upi.,1,Investment Scam,en
"Dear customer, your order #245371 has been dipsatched. Track status heer.",0,None,en
Aapka mobile recharge #767079 successfully ho gaya hai. Thank you.,0,None,hinglish
Your parcel has been delivered to your doorstep. Rate your delivery experience. #731654.,0,None,en
Aaj class chalegi kya Raj? Mujhe assignment submit karna hai today.,0,None,hinglish
Daily interest plan! Deposit Rs.122097 get Rs.353220 within 15 days. Register: http://win-deals-reward-573.net/pay.,1,Investment Scam,hinglish
Are we still on for lunch weekend at the restaurant? Please let me know Vikram.,0,None,en
Aapka number KBC lottery mein select huа hаi. WhatsApp par contact karein: +919876510072.,1,Lottery Scam,hinglish
పార్ట్ టైమ్ ఆన్‌లైన్ వర్క్: రోజువారీ వేతనం రూ.235197. రిజిస్ట్రేషన్ ఉచితం: http://win-deals-reward-609.net/pay.,1,Fake Job Scam,telugu
Bhai kal chalna hai kya cafe? Zaroori shopping karni hai.,0,None,hinglish
वॉलेट की सीमा समाप्त। बहाल करने के लिए इस लिंक पर केवाईसी अपडेट करें: http://win-deals-reward-625.net/pay।,1,Fake KYC Scam,hindi
"Hey Divya, congrats on your promotion! We should celebrate soon on Wednesday.",0,None,en
"Bhai Priya, ghar kab tak aayega? Khana thanda ho raha hai.",0,None,hinglish
Double your savings in 7 days! TrustNet crypto trading bots guarantee 10% returns daily. Join telegram group or register: http://win-deals-reward-511.net/pay.,1,Investment Scam,en
"बधाई हो, आपको मिला है उपहार कूपन। फाइल शुल्क 1684 रुपये ट्रांसफर करें यूपीआई: claim-reward70@upi।",1,Lottery Scam,hindi
सीमा शुल्क निकासी शुल्क 4124 रुपये का भुगतान करें। पार्सल जारी करने के लिए यूपीआई: claim-reward38@upi।,1,Advance Payment Scam,hindi
"ప్రియమై కస్టమర్, మీ బ్యాంక్ ఖాతా ఈరోజు బ్లాక్ చేయబడుతుది. వెంటనే కేవైసీ చేయండి: http://win-deals-reward-605.net/pay.",1,Fake KYC Scam,telugu
बिजली बिल 3099 रुपये का भुगतान समय पर करें। धन्यवाद।,0,None,hindi
Your parcel has been delivered to your doorstep. Rate your delivery experience. #209245.,0,None,en
Are we still on for lunch Wednesday at the theater? Please let me know Raj.,0,None,en
"Hey Neha, let's meet up for coffee at 11 AM Sunday near the park.",0,None,en
Alеrt: Pyat walelt sspuenedd due to missing KYC. Call helpline +9198765233 or visit thtp://win-deals-reward-844.net/рay ot update detaisl.,1,Fake KYC Scam,en
Aapka mobile bill pay ho chuka hai. Transaction amount: Rs.2752. Details: #191932.,0,None,hinglish
Aaрne jеeta hai Rs.44824 ka KBC cash prize. Prize claim karnе ke liye processing fee Rs.1943 bhejein UPI: claim-reward83@upi.,1,Lottery Scam,hinglish
Selling LED TV for Rs.26608. Advance shipping security deposit Rs.4243 to UPI: claim-reward87@upi.,1,Marketplace Scam,hinglish
"స్టాక్ మార్కెట్ సిగ్నల్స్: రూ.103435 పెట్టుబడి, నెలకు రూ.136155 లాభం. టెలిగ్రామ్: http://win-dеals-reward-583.net/pay.",1,Investment Scam,telugu
"OLX Deal: іPhone 14 Pro for Rs.222108. Pay half advаnce to book, shipping receipt will be sent on WhаtsApp: +919876558281.",1,Marketplace Scam,en
Aapka mobile recharge #781177 successfully ho gaya hai. Thank you.,0,None,hinglish
Aapkanmuber KBClоttrey eimn select hau hai. WhatsApp рar contact kаrein: +919876510469.,1,Lottery Scam,hinglish
कृपया मुझे मेल पर काम की डिटेल्स morning तक भेजें।,0,None,hindi
ఈరోజు సాయంత్రం evening కి theater లో కలుద్దామా Jyoti?,0,None,telugu
Moving sale: AC Rs.183557 mein. Home delivery charge Rs.6385 advance pay karein: claim-reward10@upi.,1,Marketplace Scam,hinglish
Reminder: Your monthly electricity bill of Rs.766 is due by Wednesday. Pay using bank app.,0,None,en
Kal meeting kitne baje hai Raj? Confirm karna weekend tak.,0,None,hinglish
कल सुहब 10 AM बजे cafe में ीटिंग तय ी गई है।,0,None,hindi
రేపు మధ్యాహ్నం 10 AM కి metro station లో భోజనానికి కలుద్దామా?,0,None,telugu
Aapka mobile recharge #783574 successfully ho gaya hai. Thank you.,0,None,hinglish
आपकी दवाइयां डिलीवर हो चुकी हैं। ऑर्डर विवरण: #101103।,0,None,hindi
"Suresh, सुनो, क्या कल शाम को चलें metro station घूमने?",0,None,hindi
Aapko KBC ticket par Rs.168010 inaam mila hai. Cliam ke liye fee Rs.3944 bheejin: claimreward82@upi.,1,Lottery Scam,hinglish
Invest karein Rs.27738 aur payein double reutrns 39% interest ke sath. UPI: claim-reward57@upi.,1,Investment Scam,hinglish
"Sanjay, सुनो, क्या कल शाम को चलें theater घूमने?",0,None,hindi
మీ మొబైల్ నంబర్ డియాకటివేట్ కాకుండా ఆధార్ కార్డ్ అప్‌డేట్ చేయండి: http://win-daels-reward-764.net/pay.,1,Fake KYC Scam,telugu
ఈరోజు సాయంత్రం 5 PM కి theater లో కలుద్దామా Sneha?,0,None,telugu
Ghar se video likes tasks. Roz Rs.232367 earn karein. Joining bilkul free. Link: http://win-deals-reward-325.net/pay.,1,Fake Job Scam,hinglish
"Bhai free ho to call karna weekend 3 PM par, urgent kaam hai.",0,None,hinglish
సాయంత్రం 5 PM కి కాఫీ తాగడానికి theater కి వెళ్దామా Jyoti?,0,None,telugu
क्या आप Monday को Arjun के साथ डिनर करेंगे?,0,None,hindi
రేపు మధ్యాహ్నం 2 PM కి station లో భోజనానికి కలుద్దామా?,0,None,telugu
पेटीमए केवाईसी लंबित है। खाता फ्रीजहोने से बचाने के लिए कॉल करे +919765375।,1,Fake KYC Scam,hindi
"Hi Raj, please check the email attachment for project details. Let me know your feedback.",0,None,en
"Can you send the project presentation files by 3 PM tomorrow, Priya? Thanks.",0,None,en
బ్యాంక్ ఖాతా నిలిపివేయబడింది. కేవైసీ పునరుద్ధరణ కోసం క్లిక్ చేయండి: http://win-deals-reward-834.net/pay.,1,Fake KYC Scam,telugu
రేపు మధ్యాహ్నం 2 PM కి cafe లో భోజనానికి కలుద్దామా?,0,None,telugu
Aapka mobile recharge #228877 successfully ho gaya hai. Thank you.,0,None,hinglish
ओएएलक्स सत्यापित डीलर: आईपैड 21008 रुपये। एडवांस बुकिंग शुल्क 2953रुपये भेजें: lcami-reward44@upi।,1,Marketplace Scam,hindi
మీ మొబైల్ రీఛార్జ్ #821126 విజయవంతంగా పూర్తయింది. ధన్యవాదాలు.,0,None,telugu
Bhai kal chalna hai kya park? Zaroori shopping karni hai.,0,None,hinglish
ఈరోజు సాయంత్రం evening కి park లో కలుద్దామా Aditya?,0,None,telugu
"दैनिक ब्याज प्लान: 52695 रुपये निवेश करें, 269132 रुपये प्राप्त करें। रजिस्टर: http://win-deals-reward-506.net/pay।",1,Investment Scam,hindi
మీ కరెంట్ బిల్లు రూ.1163 గడువు Monday తో ముగుస్తుంది.,0,None,telugu
पार्सल जारी करने के लिए कूरियर पेनाल्टी शुल्क 2067 रुपये भेजें यूपीआई: claim-reward24@upi।,1,Advance Payment Scam,hindi
Part timе ghar se kaam karkе Rs.187091 kamayein. YouTube reviews work. Register: http://win-deals-reward-740.net/pay.,1,Fake Job Scam,hinglish
పార్ట్-టైమ్ ఉద్యోగానికి ఎంపికయ్యారు. నెలకు రూ.86263 జీత. ఇక్కడ నమోదు చేసుకోండి: http://win-daels-ewrard-851.ent/pay.,1,Fake Job Scam,telugu
Urgent! Earn Rs.44020 daily workіng from home. Simple YouTube video likеs. Contact via WhatsApp: +919876588866.,1,Fake Job Scam,en
Package blocked by international customs. Clear customs penalty Rs.3501 to UPI: claim-reward30@upi to avoid legal action.,1,Advance Payment Scam,en
"Selling double bed, moving abroad. Price Rs.161744. Secure it with advance deposit Rs.6384 to UPI: claim-reward57@upi.",1,Marketplace Scam,en
Forex robot daily returns 24%. Minimum investment Rs.32122. Join: http://win-deals-reward-940.net/pay.,1,Investment Scam,hinglish
సాయంత్రం evening కి కాఫీ తాగడానికి mall కి వెళ్దామా Amit?,0,None,telugu
Your HDCF netbnaking cacess is lcoked. Verify PAN cadr now to avoid suspension: http://win-deals-reward-133.netpay.,1,Fake KYC Scam,en
केबीसी लॉटरी विभाग: 173788 रुपये का इनाम मंजूर। पंजीकरण शुल्क 3659 रुपये भेजें: claim-reward45@upi।,1,Lottery Scam,hindi
"ठीक है Ananya, मैं आपको रिपोर्ट 2 PM पर भेजता हूँ।",0,None,hindi
"Suresh, सुनो, क्या कल शाम को चलें park घूमने?",0,None,hindi
बधाई हो Raj आपके नए काम के लिए! पार्टी Wednesday को है।,0,None,hindi
ఓఎల్ఎక్స్ సెకండ్ హ్యాండ్ బైక్ రూ.1821. అడ్వాన్స్ టోకెన్ రూ.2099 యూపీఐ: claim-rewadr57@upi కి పంపడి.,1,Marketplace Scam,telugu
Package blocked by international customs. Clear customs penalty Rs.3414 to UPI: claim-reward98@upi to avoid legal action.,1,Advance Payment Scam,en
Paisa double scheme! Rozana 25% profit guaranteed. Telegram join karein ya link check karein: http://win-deals-reward-996.net/pay.,1,Investment Scam,hinglish
"Bhai Ravi, ghar kab tak aayega? Khana thanda ho raha hai.",0,None,hinglish
आपकी दवाइयां डिलीवर हो चुकी हैं। ऑर्डर विवरण: #347764।,0,None,hindi
Kal meeting kitne baje hai Surseh? Confirm karn Monday tak.,0,None,hinglish
स्टेट बैंक अलर्ट: आपा डेबिट कार्ड ब्लॉक कर दिय गया है। अपडेट करें: http://win-deals-reward-815.net/pya।,1,Fake KYC Scam,hindi
మీ మొబైల్ రీఛార్జ్ #375845 విజయవంతంగా పూర్తయింది. ధన్యవాదాలు.,0,None,telugu
Part-time job vacancy: Earn Rs.67608 daily by rating films. No experience needed. Join: http://win-deals-reward-494.net/pay.,1,Fake Job Scam,en
मोबाइल नंबर बंद होने से बचाएं। तुरंत कॉल करें +919876571278 या वेरीफाई करें: http://win-deals-reward-561.net/pay।,1,Fake KYC Scam,hindi
स्टेट बैंक अलर्ट: आपका डेबिट कार्ड ब्लॉक कर दिया गया है। अपडेट करें: http://win-deаls-reward-362.net/pаy।,1,Fake KYC Scam,hindi
"Bhai Pooja, ghar kab tak aayega? Khana thanda ho raha hai.",0,None,hinglish
Paisa oduble scheem! Rozanа 18% profit guaranteed. Telegram join karеіn ya link check karein: http://win-deals-reward-331.nte/pay.,1,Investment Scam,hinglish
SBI Account Alert: Your debit card is blocked. Reactivate by updating KYC details here: http://win-deals-reward-247.net/pay.,1,Fake KYC Scam,en
మీ లోన్ ఆమోదించబడింది. ఫైల్ చార్జీలు రూ.2591 యూపీఐ: claim-reward31@upi ి పంపండి.,1,Advance Payment Scam,telugu
Aapka mobile recharge #731821 successfully ho gaya hai. Thank you.,0,None,hinglish
Congratulations! Rs.145003 jackpot winner. Reg fee Rs.2405 transfer karein UРI: clаim-reward89@upi.,1,Lottery Scam,hinglish
Security clearance deposit Rs.4743 required to process your refund. Send to UPI: claim-reward41@upi.,1,Advance Payment Scam,en
Package blocked by international customs. Clear customs penalty Rs.3612 to UPI: claim-reward37@upi to avoid legal action.,1,Advance Payment Scam,en
Pre-owned car in mint condition. Total cost Rs.39045. Pay token money Rs.1984 to UPI: claim-reward88@upi to reserve.,1,Marketplace Scam,en
Work frmo home vacancy. SalaryRs.129939/motnh Daily payout milega. Contact: +919876560179.,1,Fake Job Scam,hinglish
"Hey Karan, congrats on your promotion! We should celebrate soon on Sunday.",0,None,en
Aapka loa pass ho gaya hai. Processing fee Rs.5836 advance send karein UPI: claim-reawrd69@upi.,1,Advance Payment Scam,hinglish
మీ ఆర్డర్ #215145 విజయవంతంగా డెలివరీ చేయబడింది.,0,None,telugu
कृपया मुझे मेल पर काम की डिटेल्स evening तक भेजें।,0,None,hindi
"రేపు ఉదయం noon కి ఆఫీస్ మీటింగ్ ఉంది Pooja, తప్పకుండా రండి.",0,None,telugu
पैसे को करें डबल केवल 5 दिन में। शत प्रतिशत सुरक्षित निवेश योजना। यूपीआई: claim-reward47@upi।,1,Investment Scam,hindi
